Nested Sampling Global Log-Evidence           :    0.773505576281919616E+03  +/-    0.132238294668983764E+00
Nested Importance Sampling Global Log-Evidence:    0.772304239392822979E+03  +/-    0.312388234766903215E-01

Dim No.       Mean        Sigma
   1    0.811407353037611401E+01    0.235079328617990584E-03
   2    0.245500934021121915E+07    0.139754248593736863E+00
   3    0.369000215550331703E-01    0.655209133100050534E-03
   4    0.352801810259541937E+00    0.176503543646991112E+00
   5    0.397270878788533899E+00    0.207601522908238023E+00
   6    0.347642829725372915E+00    0.238280868104752658E+00
   7    0.170240279859882904E+02    0.133708191405614585E+01
   8   -0.374176843424801832E-03    0.154670919566407742E-04
   9    0.120232519219464660E+02    0.175524487941432952E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.811412329280613243E+01
   2    0.245500934023037506E+07
   3    0.363256037260036649E-01
   4    0.168031676720206025E+00
   5    0.298933504146199569E+00
   6    0.407333625511251518E+00
   7    0.183059882581813653E+02
   8   -0.374304114052479429E-03
   9    0.466764892741927326E+02

MAP Parameters
Dim No.        Parameter
   1    0.811412329280613243E+01
   2    0.245500934023037506E+07
   3    0.363256037260036649E-01
   4    0.168031676720206025E+00
   5    0.298933504146199569E+00
   6    0.407333625511251518E+00
   7    0.183059882581813653E+02
   8   -0.374304114052479429E-03
   9    0.466764892741927326E+02
